Name,Description,Requirements,Script
Plexiglass,-1 dice for you and enemy,,if(self.dice + self.extradice == 1 # target.dice + target.extradice == 1) { self.textparticle(~Can't go lower!~); } else { self.extradice--; target.extradice--; sfx(~magic_gaindice~); }
Obfuscate,Inflict [blind]2 blind,,inflict(BLIND|2); sfx(~_blind~);
Science,Blind a random amount,,var r = rand([1|1|1|1|2|2|2|3|3|4|5]); inflict(BLIND| r); sfx(~_blind~); // you could probably do this without r by just putting the rand in place of it; but this is how the official items do it so what-ever
Neutron Star,Odd turns: [sword]3[;] even: [sword]6,,if(turn % 2 == 0) { attack(6); sfxdamage(target|6); } else { attack(3); sfxdamage(target|3); }
Conformity,Set a dice to your highest,,var dicelist = []; var max = 0; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice);  if (mydice.basevalue > max) { max = mydice.basevalue; } } } if(dicelist.length > 0 && max > 0) { var backupdicelist = dicelist.copy(); for(mydice in backupdicelist) { if(mydice.basevalue == max) { dicelist.remove(mydice); } } if(dicelist.length > 0) { shuffle(dicelist); dicelist[0].animatereroll(max| self.screenposition()); } else { shuffle(backupdicelist); backupdicelist[0].animatereroll(max|self.screenposition()); } } }
Healthy Eating,Gain 2 max hp (once),,self.maxhp +=2; attackself(-2); sfx(~_heal~); Gadget.changegadget(self| ~Healthy Eating~| ~Broken Gadget~); //kale salad used to be the only way of raising max hp; builds exploiting kale salad with hookshot and a breakable enemy (like paper knight) were called 'healthy eating' builds at least once
Electrify,Shock a random amount,,var r = rand([1|1|1|1|2|2|2|3|3|4|5]); inflict(SHOCK| r); sfx(~_shock~);
Underwhelm,Do [sword]<var:underwhelm> dmg[;] dmg -1,,if(!self.getvar(~underwhelm~) > 0) {self.setvar(~underwhelm~|5);} attack(self.getvar(~underwhelm~)); sfxdamage(target|self.getvar(~underwhelm~)); if(self.getvar(~underwhelm~) > 1) {self.setvar(~underwhelm~|self.getvar(~underwhelm~)-1);} // base value of underwhelm; 5; was _merged into inventor gadgets. also yes; i use semicolons instead of commas; do; not; mock me;;;;;;
Dice Bash,Do [sword] with any of your dice,,var dicelist = []; for (mydice in self.dicepool){ if (mydice.available()){ dicelist.push(mydice); }} if(dicelist.length > 0) { shuffle(dicelist); attack(dicelist[0]); sfxdamage(target|dicelist[0]); }
Phillips Head,[sword]3 dmg[;] [sword]6 if reactivated,,if (self.getvar(~phillip~) != true) { attack(3); self.setvar(~phillip~|true); } else { attack(6); } // _merge inventor gadgets shenanigans
Drunken Boxing,Do [sword]1-10 damage,,var r = rand([1|2|2|3|3|3|4|4|4|4|5|5|5|5|5|6|6|6|6|6|7|7|7|7|8|8|8|9|9|10]); attack(r); sfxdamage(target|r);
Rod,Cut enemy health by 1/6,,var p = (target.hp / 6); pierceattack(p); sfxdamage(target|p);
Perfectionism,Make dice parity match,,var availabledice = []; var evens = 0; var odds = 0; var oddparity = false; if(self.dicepool.length > 0) { for (mydice in self.dicepool){ if (mydice.available()){ availabledice.push(mydice); trace(1); if (mydice.basevalue % 2 == 0) { evens++; } else { odds++; } } } if(availabledice.length > 0) { trace(2); if(evens > odds) { oddparity = true; } else { if(evens == odds) { oddparity = rand([false|true]); } } trace(3); if(oddparity == false) { sfx(~diceroll~); for(mydice in availabledice){ if(mydice.basevalue % 2 == 0) { mydice.animatereroll(mydice.basevalue - 1|self.screenposition()); } } } else { if(oddparity == true) { trace(4); sfx(~diceroll~); for(mydice in availabledice) { if(mydice.basevalue % 2 == 1) { mydice.animatereroll(mydice.basevalue + 1|self.screenposition()); } } } else { self.textparticle(~Already matched!~); } } } }
Reset Button,Clear all active statuses (once),,var exceptions = [~cannotseeenemyhealth~|~robotblinded~|~crystalinaremix~]; if(target.status.length > 0) { for(x in target.status) { if(exceptions.indexOf(x.type) == -1) { removestatus(x.type|ALL); } } } if(self.status.length > 0) { for(x in self.status) { if(exceptions.indexOf(x.type) == -1) { removestatusself(x.type|ALL); } } } sfx(~_cure~); /*frankly kind of surprised that part was as simple as it was*/ if(self.equipment.length > 0) { for(eq in self.equipment) { if(eq.shockedsetting != 0) { eq.shockedsetting = 0; eq.animate(~flashandshake~); } if(eq.namemodifier == ~-~) { eq.unweaken(); eq.animate(~flashandshake~); } } } if(self.dicepool.length > 0) { for(mydice in self.dicepool) { if(mydice.burn # mydice.alternateburn # mydice.blind # mydice.locked) { var flashanim = new elements.Animation(); flashanim.applytodice(mydice); mydice.animation.push(flashanim); flashanim.addcommand(~flash~|0|0.15); flashanim.addcommand(~shake~|20|0|20|0); } mydice.burn = false; mydice.alternateburn = false; mydice.blind = false; mydice.showoverlayimage = false; if(mydice.locked) { mydice.locked = false; mydice.canbedragged = true; mydice.dicealpha = 1; } } } Gadget.changegadget(self| ~Reset Button~| ~Broken Gadget~);
